GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
Village Council,Sambhucharan,1056.32342408,Sepahijala,Jampuijala,Jampuijala,Gabordi,East Ratanpur,2023,70.85,258.09,488.52,40.8,858.26
Village Council,Jhilingma,494.23564085,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2023,27.5,108.14,259.72,18.36,413.72
Village Council,East Belbari,453.255119188,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2023,23.45,65.33,168.17,49.38,306.33
Village Council,GangiaTwisa,808.559493131,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2023,29.9,99.04,247.49,144.41,520.84
Village Council,Zarzui,2625.12204138,Sepahijala,Jampuijala,Jampuijala,Thelakung,Killaverma,2023,70.72,210.84,516.78,926.85,1725.19
Village Council,Thansa Bodol,608.729765367,West Tripura,Jirania,Champknagar,Champaknagar,East Belbari,2023,47.65,123.44,200.01,78.21,449.31
Village Council,R.C. Para,610.43528501,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2023,10.2,47.14,139.84,231.03,428.21
Village Council,Rwngsakha Bodal,1114.04071886,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2023,65.97,70.43,140.0,426.26,702.66
Gram Panchayet,Sardukarkari,763.860433134,Khowai,Teliamura,Teliamura,Baramura,West Howaibari,2023,11.92,56.8,158.08,312.44,539.24
Village Council,Narangbari,548.992290196,West Tripura,Jirania,Champknagar,Champabari,Champabari,2023,0.9,15.45,73.83,269.38,359.56
Village Council,Bamsree Twisa,988.047048601,West Tripura,Jirania,Champknagar,Belbari,Belbari,2023,86.04,212.99,360.65,97.39,757.07
Village Council,Deven Twisa,257.750097342,West Tripura,Jirania,Champknagar,Champabari,Champabari,2023,3.37,17.08,41.22,117.78,179.45
Gram Panchayet,Hawaibari,453.070933285,Khowai,Teliamura,Teliamura,Baramura,Tuichindrai,2023,3.26,29.6,95.58,210.32,338.76
Village Council,KC Para,419.685934029,West Tripura,Jirania,Champknagar,Champaknagar,Champaknagar,2023,33.77,84.46,99.86,76.34,294.43
Village Council,Tuidolnai Bodal,1384.31455174,Khowai,Teliamura,Mungiakami,Chakmaghat,Manik Debbarma,2023,95.56,222.2,306.85,396.76,1021.37
Village Council,Emmanualpara,364.658279758,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2023,3.39,19.82,65.28,148.13,236.62
Village Council,Bardwal,455.713048109,West Tripura,Jirania,Champknagar,Champabari,Champabari,2023,1.85,17.37,58.8,221.91,299.93
Gram Panchayet,Raktiacherra,171.425871573,West Tripura,Jirania,Mandwi,Raktiacherra,East Debendranagar,2023,19.62,45.74,51.04,15.76,132.16
Gram Panchayet,Hamkrai,242.300323507,West Tripura,Jirania,Champknagar,Champaknagar,East Debendranagar,2023,37.21,58.04,60.2,31.7,187.15
Village Council,Aitorma Bodal,956.22022725,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2023,20.82,64.08,161.11,410.56,656.57
Village Council,Marthandol,2308.55502976,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2023,39.83,108.29,336.63,960.94,1445.69
Village Council,Sinai Kami,600.573796704,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2023,16.18,77.3,149.78,193.57,436.83
Village Council,Hardai,1250.35102569,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2023,43.07,165.67,281.01,484.3,974.05
Village Council,Bongshimukha,935.169956114,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2023,95.94,63.11,147.78,309.83,616.66
Village Council,Thaipungbil,852.368968536,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2023,87.95,54.08,92.65,306.4,541.08
Village Council,Khakaham,567.071582479,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,7.1,21.4,54.88,276.13,359.51
Village Council,Dumti Para,752.877887977,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2023,7.25,48.4,173.93,264.81,494.39
,Madhya Krishnapur,469.877562477,Khowai,Teliamura,Teliamura,Teliamura,,2023,64.19,104.55,101.65,108.41,378.8
Village Council,Brigudas Bari,694.174500358,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2023,2.24,30.72,154.08,237.1,424.14
Village Council,Kwtal Bodal,710.292183199,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2023,40.8,46.35,85.19,271.8,444.14
Village Council,Chakmaghat,461.217566213,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2023,41.86,57.98,76.39,189.88,366.11
Village Council,Twikalai Kami,112.805799861,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2023,0.84,10.38,35.91,27.18,74.31
Village Council,Bolong Hamkrai Bodal,1163.99365071,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2023,107.34,174.53,239.13,335.6,856.6
Village Council,Khatansa Bodal,848.257512931,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,21.07,36.41,66.0,404.3,527.78
Village Council,Sichandi,527.246343272,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2023,14.18,65.51,139.15,147.68,366.52
,Uttar Krishnapur,405.416344962,Khowai,Teliamura,Teliamura,Teliamura,,2023,45.29,91.66,120.39,65.95,323.29
Village Council,Manikung Kami,633.795024468,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2023,2.17,35.72,168.15,183.73,389.77
Village Council,Lokuhamkrai Bodal,548.581576403,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2023,55.47,47.67,72.56,148.16,323.86
Village Council,Jorkaham,663.740870941,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2023,5.57,32.62,121.01,297.73,456.93
Village Council,Yaprikwtal Bodal,353.571168541,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2023,11.94,10.41,23.15,169.65,215.15
Village Council,Salkaham,801.520018077,Khowai,Teliamura,Teliamura,Duski,Duski,2023,76.12,193.73,207.67,195.02,672.54
,Laxmipur,149.090566825,Khowai,Teliamura,Teliamura,Teliamura,,2023,20.28,35.46,41.8,26.83,124.37
Village Council,Burakha Kami,325.60998416,West Tripura,Jirania,Mandwi,Burakha,Borakha,2023,20.42,72.15,130.4,25.63,248.6
Village Council,Chubanai Bodal,962.668335966,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2023,24.43,75.16,182.08,437.47,719.14
Village Council,Shibnagar,658.938926737,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2023,30.19,113.93,350.79,44.0,538.91
Village Council,Salkiyokjak,512.485285471,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,28.91,29.6,52.59,240.2,351.3
Village Council,Khabaksa Bodal,915.537147612,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2023,53.74,115.73,174.19,321.89,665.55
Village Council,Kathiram Bari,548.728105754,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2023,34.23,112.47,260.35,49.32,456.37
Village Council,Hamari Bodal,889.023585655,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2023,36.32,100.8,157.99,331.33,626.44
Village Council,Yeakbaksa Bodal,692.284967565,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,8.52,29.61,91.32,304.4,433.85
Village Council,Yakhrai Bodal,730.467759409,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2023,5.41,33.01,119.22,340.06,497.7
Village Council,Matai Para,345.961792375,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2023,23.47,75.2,90.98,88.84,278.49
Village Council,Hamkrai Bodal,567.223109523,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,38.58,26.7,47.95,254.12,367.35
Village Council,Lamsokjak Bodal,1169.60688378,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2023,59.94,112.63,205.82,392.32,770.71
Village Council,Triprabasti,718.409242902,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,8.33,18.81,47.46,352.56,427.16
Village Council,Twisamungkwrwi,254.161187147,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2023,4.24,30.45,89.17,71.17,195.03
Village Council,Kaithorai,1687.80018448,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2023,96.78,290.75,502.93,426.67,1317.13
Village Council,Khengra Para,498.005786737,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2023,3.58,39.04,160.69,146.46,349.77
Village Council,Jamilwng,369.729472725,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2023,3.26,35.58,129.27,81.0,249.11
Village Council,Hamari,368.952422339,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2023,4.01,31.35,121.46,108.35,265.17
Village Council,Twimatai,439.081585886,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2023,1.92,48.79,173.02,78.61,302.34
Village Council,Tiyarimairang,344.747826453,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2023,15.75,53.75,107.18,82.05,258.73
Village Council,Ramdayalbari,956.492926291,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2023,62.0,214.78,358.17,141.89,776.84
Village Council,Jogendra Smriti,556.831912853,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2023,19.12,104.86,206.71,118.38,449.07
Village Council,Jorakwtal,188.021256025,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2023,4.23,24.43,66.39,50.16,145.21
Village Council,Athukiri,328.079408983,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2023,2.84,28.65,114.09,89.43,235.01
Village Council,Hridoy Choudhury,646.825994856,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2023,35.77,129.53,260.6,85.99,511.89
Village Council,Salka,311.290052397,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2023,7.66,36.3,115.74,67.69,227.39
Village Council,Hataikator,701.99239898,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2023,3.6,75.18,300.79,139.07,518.64
Village Council,Ratiranjan,772.141874179,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2023,42.77,172.92,255.79,173.54,645.02
Village Council,Harefkator,377.643132496,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2023,7.98,45.14,126.72,105.46,285.3
Village Council,Kambukcherra,376.34778931,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2023,1.78,29.68,129.38,102.01,262.85
Village Council,Arunjoy,1665.22673736,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2023,118.64,434.54,698.4,179.14,1430.72
Village Council,South Gayamani,563.503000547,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2023,43.1,136.83,219.0,67.89,466.82
Village Council,Kwswrang,406.257020173,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2023,3.26,49.23,181.71,68.71,302.91
Village Council,North Gayamani,358.945545363,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2023,13.75,53.05,148.99,67.08,282.87
Village Council,Krishna Debbarma,392.667596441,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2023,41.3,120.76,147.44,25.68,335.18
,Bairagi Para,459.106256159,Unakoti,Kumarghat,Machmara,Krishnatilla,,2023,13.29,48.8,132.46,91.43,285.98
Village Council,Umanjoy Para,1324.37231452,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2023,20.72,95.64,313.56,335.59,765.51
Village Council,B.C. Para,1039.78090102,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2023,22.23,93.08,348.34,246.83,710.48
Village Council,Dhaniram Debbarma,505.067098395,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2023,29.16,124.21,189.71,73.23,416.31
Gram Panchayet,Upendra,1302.6261251,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2023,125.57,368.97,456.16,213.36,1164.06
Village Council,Bhupendra Debbarma,921.465964168,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2023,50.25,216.57,505.4,55.11,827.33
Village Council,Samung Kaham Bodal,155.779215699,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2023,9.22,31.62,38.18,36.87,115.89
Village Council,Ganthalwng,121.722663917,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2023,3.7,16.97,37.49,24.38,82.54
Village Council,Pirkha,443.786947248,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2023,4.96,42.29,168.62,99.33,315.2
Village Council,Tentuikhar,330.64255645,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2023,3.97,39.75,137.04,68.75,249.51
Village Council,Thancha,1315.43989949,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2023,38.58,142.24,232.37,476.29,889.48
Village Council,Mathura Para,1136.29864958,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2023,31.92,135.86,331.66,181.47,680.91
Village Council,Hakwithang,576.583984284,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2023,20.64,91.3,242.25,105.23,459.42
Village Council,Masrai Para,372.279016229,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2023,6.68,45.91,160.45,72.97,286.01
Village Council,Dhananjoy Para,247.51459111,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,6.87,43.58,86.37,36.87,173.69
Village Council,Panbagan,1459.95056832,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2023,36.1,174.27,408.47,297.16,916.0
Village Council,Dalam Para,376.128442158,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2023,2.13,28.89,108.58,79.11,218.71
Village Council,Khabaksa,939.012361063,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2023,8.78,33.91,81.08,448.09,571.86
Village Council,Sanduk Hamkrai,1057.84312755,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2023,83.72,324.14,439.02,70.21,917.09
Village Council,Bolong Swnamnai,757.227566031,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2023,17.42,68.89,130.43,302.81,519.55
Village Council,Yapribaksa,1663.53671959,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2023,85.14,305.43,482.64,451.08,1324.29
Village Council,Salkwtal,349.984821406,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2023,18.23,69.97,145.04,37.31,270.55
Village Council,Dangarai Para,492.305698765,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2023,10.52,70.54,154.11,107.56,342.73
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,114.24,215.1,287.53,144.24,761.11
Village Council,G.C. Para,261.194369125,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2023,2.64,17.99,90.8,77.98,189.41
Village Council,Bagabil,596.240305194,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2023,10.76,75.64,249.93,124.17,460.5
Village Council,Lamphunuknai,320.574189921,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2023,11.12,49.17,98.91,95.89,255.09
Village Council,Purba Simna,570.246187474,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2023,13.75,83.02,247.69,102.95,447.41
Village Council,Sakya Adam,635.150082664,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,12.03,69.35,191.94,101.41,374.73
Village Council,Singharam Para,472.217903328,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,29.8,83.28,134.45,83.6,331.13
Village Council,Maharaja Bir Bikram,301.40933774,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2023,8.04,33.75,67.91,101.38,211.08
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2023,1.89,37.7,213.82,448.86,702.27
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2023,150.0,160.24,184.48,111.64,606.36
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2023,8.43,56.89,178.8,183.51,427.63
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2023,63.03,205.97,353.6,294.45,917.05
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2023,16.46,45.36,73.4,74.7,209.92
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2023,34.09,145.24,352.52,421.55,953.4
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2023,42.07,155.33,255.96,181.73,635.09
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2023,55.78,228.16,369.75,183.98,837.67
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2023,38.96,119.89,212.95,253.23,625.03
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2023,45.14,109.95,163.46,64.25,382.8
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2023,17.34,62.03,116.36,43.03,238.76
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2023,80.33,177.76,199.85,63.27,521.21
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2023,194.7,579.85,819.82,147.08,1741.45
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2023,3.13,21.06,65.43,30.29,119.91
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2023,9.99,39.42,107.22,81.13,237.76
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2023,39.14,62.72,105.75,86.05,293.66
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2023,42.94,156.26,325.69,164.51,689.4
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2023,42.81,114.12,160.91,70.95,388.79
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2023,16.12,60.39,133.18,60.17,269.86
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2023,27.13,98.27,186.95,99.69,412.04
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2023,111.59,193.84,178.72,73.4,557.55
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2023,14.89,91.91,302.28,182.79,591.87
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2023,35.07,81.94,182.83,151.12,450.96
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2023,91.38,264.42,427.37,172.37,955.54
Village Council,Judamonipara,1356.32444637,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2023,19.38,108.17,338.25,410.56,876.36
Village Council,Bru-Kami,333.99113139,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2023,4.77,25.16,88.4,100.94,219.27
Village Council,Greenland,596.381103532,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2023,8.19,49.0,148.55,188.32,394.06
Village Council,Rachiline,713.299101114,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2023,21.59,117.22,252.79,100.04,491.64
Gram Panchayet,Kalagang,261.370190606,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2023,26.3,89.49,87.57,12.2,215.56
Village Council,Mundaline,822.766094207,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2023,38.82,206.7,308.11,59.64,613.27
Village Council,Phaiko,429.562075015,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2023,12.73,66.82,132.44,83.57,295.56
Village Council,Seba Ch. Para,1317.22181754,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2023,69.99,251.96,483.24,136.41,941.6
Village Council,Tailenbari,600.347652103,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2023,8.83,51.55,147.02,199.35,406.75
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2023,27.77,122.29,290.45,225.77,666.28
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2023,155.04,286.26,167.18,20.12,628.6
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2023,12.76,74.36,202.86,160.3,450.28
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2023,128.98,197.22,265.14,182.0,773.34
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2023,33.31,95.26,102.01,15.34,245.92
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2023,20.68,103.35,191.02,113.36,428.41
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2023,75.07,152.44,140.46,20.35,388.32
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2023,81.53,211.94,135.51,21.06,450.04
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2023,15.3,64.58,152.39,78.82,311.09
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2023,14.0,80.94,241.19,318.4,654.53
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2023,12.33,56.28,150.41,117.85,336.87
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2023,10.97,102.45,311.23,218.69,643.34
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,26.09,59.2,80.64,36.38,202.31
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2023,6.17,36.34,127.38,93.01,262.9
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2023,18.34,47.35,69.76,82.76,218.21
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,14.02,38.83,112.38,136.39,301.62
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2023,12.54,33.99,101.6,111.92,260.05
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,17.89,57.24,125.52,90.2,290.85
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2023,82.99,159.64,120.65,61.0,424.28
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,20.79,73.64,165.25,144.24,403.92
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2023,74.03,213.0,189.71,135.55,612.29
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2023,32.17,121.09,262.07,172.65,587.98
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2023,83.08,200.94,105.55,25.15,414.72
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2023,80.23,113.62,81.54,43.58,318.97
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2023,62.25,148.99,108.31,13.82,333.37
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2023,49.28,128.64,224.53,95.15,497.6
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2023,7.83,62.89,295.93,217.1,583.75
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2023,32.49,97.53,145.89,35.65,311.56
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2023,4.13,32.79,115.53,81.89,234.34
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2023,11.2,102.96,302.6,124.3,541.06
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2023,44.68,134.4,302.64,149.78,631.5
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2023,10.63,91.74,271.56,142.93,516.86
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2023,5.58,66.21,252.15,155.48,479.42
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,2023,4.01,21.74,84.24,107.93,217.92
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,2023,89.81,231.0,330.06,146.18,797.05
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,2023,60.18,114.61,159.87,81.51,416.17
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,2023,19.58,81.88,172.2,115.81,389.47
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,2023,95.07,194.71,158.44,25.19,473.41
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,2023,12.0,62.86,122.56,52.43,249.85
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,2023,67.65,174.24,102.28,12.87,357.04
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2023,61.69,168.41,171.33,61.85,463.28
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2023,63.31,227.36,321.89,181.66,794.22
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2023,30.17,110.85,135.64,24.09,300.75
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2023,68.32,258.15,361.46,68.43,756.36
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2023,25.32,90.34,172.92,129.58,418.16
