GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
Village Council,Thaipungbil,852.368968536,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2020,15.18,28.53,49.22,379.05,471.98
Village Council,Khakaham,567.071582479,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,3.18,13.86,39.94,219.62,276.6
Village Council,Dumti Para,752.877887977,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2020,2.62,40.98,81.99,244.85,370.44
,Madhya Krishnapur,469.877562477,Khowai,Teliamura,Teliamura,Teliamura,,2020,50.8,131.86,69.0,84.61,336.27
Village Council,Brigudas Bari,694.174500358,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2020,0.48,14.04,76.75,248.22,339.49
Village Council,Kwtal Bodal,710.292183199,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2020,2.34,25.28,47.75,285.13,360.5
Village Council,Chakmaghat,461.217566213,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2020,29.75,69.18,55.63,155.49,310.05
Village Council,Twikalai Kami,112.805799861,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2020,0.21,3.85,15.81,30.93,50.8
Village Council,Bolong Hamkrai Bodal,1163.99365071,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2020,35.79,184.15,170.61,399.56,790.11
Village Council,Khatansa Bodal,848.257512931,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,0.5,8.58,31.78,388.09,428.95
Village Council,Sichandi,527.246343272,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2020,5.84,53.51,70.67,150.15,280.17
,Uttar Krishnapur,405.416344962,Khowai,Teliamura,Teliamura,Teliamura,,2020,35.56,128.53,76.38,43.21,283.68
Village Council,Manikung Kami,633.795024468,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2020,0.62,15.11,83.06,184.28,283.07
Village Council,Lokuhamkrai Bodal,548.581576403,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2020,1.11,15.65,32.47,212.58,261.81
Village Council,Jorkaham,663.740870941,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2020,2.6,19.58,45.68,256.59,324.45
Village Council,Yaprikwtal Bodal,353.571168541,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2020,0.56,7.31,17.6,163.22,188.69
Village Council,Salkaham,801.520018077,Khowai,Teliamura,Teliamura,Duski,Duski,2020,107.54,236.03,125.93,137.66,607.16
