GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Gram Panchayet,MBBKM,502.5201688,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,2023,0.09,0.65,8.78,0.46,9.98
Village Council,Patichari,1377.006272,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,2023,7.5,7.91,61.39,2.96,79.76
Village Council,Kamihumkrai,1231.938588,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,2023,76.97,59.3,84.71,50.43,271.41
Village Council,Takma,1823.70062,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,2023,40.52,29.69,102.73,18.79,191.73
Village Council,Yaprikta,1758.70187,South Tripura,Belonia,Bagafa,Devipur,Debipur,2023,233.24,175.24,121.35,203.92,733.75
Village Council,Sabujdeep,1349.795973,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,2023,10.32,12.07,96.79,14.01,133.19
Village Council,Sonapur,477.9518735,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,2023,0.88,2.56,18.73,1.16,23.33
,Janakalyan,488.7472777,Sepahijala,Sonamura,Melaghar,Kalakhet,,2023,0.31,1.48,25.9,1.04,28.73
,Agragami,508.7198745,Sepahijala,Sonamura,Melaghar,Kalakhet,,2023,0.31,1.03,19.86,0.71,21.91
Gram Panchayet,Harichand Humkrai,576.9804869,Sepahijala,Sonamura,Melaghar,Induria,Baniachara,2023,1.01,2.18,39.11,2.45,44.75
Village Council,Chandulkami,1048.454601,Sepahijala,Sonamura,Melaghar,Induria,Chandul,2023,4.77,5.02,55.97,6.08,71.84
Gram Panchayet,Indra Kumar Para,634.3934807,Sepahijala,Sonamura,Melaghar,Bairagibazar,Bejimara,2023,1.1,2.44,29.55,1.27,34.36
,Ramapadapara,122.9912136,Sepahijala,Sonamura,Melaghar,Sonamara,,2023,0.61,0.68,10.58,0.7,12.57
Gram Panchayet,Matinagar,1617.829667,Sepahijala,Sonamura,Boxanagar,Matinagar,Matinagar,2023,1.99,3.07,53.35,4.79,63.2
Village Council,Panchnaliya,647.3031119,Sepahijala,Sonamura,Boxanagar,Matinagar,Dhanirampur,2023,2.8,2.7,39.57,3.67,48.74
Gram Panchayet,Kamalnagar,627.0917686,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Kamalnagar,2023,0.81,0.84,19.4,1.29,22.34
Village Council,Bijoynagar,874.579267,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2023,10.84,3.81,43.31,6.98,64.94
Gram Panchayet,South Kalamchowra,656.8653346,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2023,0.38,0.76,22.82,1.7,25.66
Gram Panchayet,North Kalamchowra,533.9591378,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,2023,0.76,0.72,14.53,2.2,18.21
Village Council,Anandanagar,446.0097448,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,2023,3.68,0.76,11.48,2.56,18.48
Gram Panchayet,Ashabari,822.3387545,Sepahijala,Sonamura,Boxanagar,Ashabari,North Kalamchoura,2023,9.15,1.05,26.6,8.11,44.91
Gram Panchayet,Kalshimura,502.2273233,Sepahijala,Sonamura,Boxanagar,Boxanagar,Kalshimura,2023,0.4,0.59,12.63,1.42,15.04
Village Council,Tarapadabari,244.5039396,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2023,0.15,1.04,7.71,0.45,9.35
Village Council,Goliraibari,810.0305619,Sepahijala,Jampuijala,Charilam,Pramodnagar,Goliraibari,2023,0.57,5.06,35.84,1.4,42.87
Gram Panchayet,Puttia,262.8312216,Sepahijala,Sonamura,Boxanagar,Veluarchar,Boxanagar,2023,0.12,0.01,1.61,0.03,1.77
Village Council,Bangshibari,1258.141219,Sepahijala,Jampuijala,Charilam,Charilam,Pathaliaghat,2023,0.76,6.53,45.22,2.24,54.75
Village Council,Nazrul,560.7354266,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2023,1.44,1.82,21.19,1.32,25.77
Village Council,Amarendranagar,604.8368944,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2023,1.25,4.84,29.93,1.16,37.18
Gram Panchayet,Manikyanagar,1294.791553,Sepahijala,Sonamura,Boxanagar,Boxanagar,Manikyanagar,2023,7.53,1.85,43.29,6.6,59.27
Gram Panchayet,Veluarchar,940.9937277,Sepahijala,Sonamura,Boxanagar,Veluarchar,Ashabari,2023,1.16,0.75,11.58,3.67,17.16
Village Council,Dingroi,832.489853,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Hachuk Khurio,2023,3.47,6.05,47.3,2.76,59.58
Village Council,Pitra Hatai,1001.214832,Sepahijala,Jampuijala,Jampuijala,Thelakung,Choygharia,2023,121.01,72.19,77.2,94.31,364.71
Village Council,Khumpoi Bodal,1311.984338,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pekuarjala,2023,4.53,14.56,63.63,6.05,88.77
Village Council,Aitorma,297.0864029,Sepahijala,Jampuijala,Jampuijala,Jampuijala,West Takerjala,2023,0.43,1.48,8.47,0.29,10.67
Village Council,Mohanpur,961.9625819,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Mohanpur,2023,1.95,9.89,41.62,2.44,55.9
Village Council,Vasaitipu,349.2609026,Sepahijala,Amarpur,Jampuijala,Thelakung,Palku,2023,67.52,35.21,23.06,67.85,193.64
Village Council,Salka,943.5708652,Sepahijala,Jampuijala,Jampuijala,Jampuijala,North Takarjala,2023,2.25,8.79,46.82,2.79,60.65
Village Council,Pravapur,859.7069279,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pravapur,2023,1.42,8.3,43.49,1.52,54.73
Village Council,Sindai Bodal,646.6846409,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2023,1.59,9.2,38.93,3.34,53.06
Village Council,Patirai Bodal,698.6805436,Sepahijala,Jampuijala,Jampuijala,Jampuijala,East Takerjala,2023,3.9,7.71,42.87,1.98,56.46
Village Council,Singna Dol,3614.23829,Khowai,Teliamura,Mungiakami,Haludiachara,Nonacherra,2023,750.32,496.94,200.37,606.45,2054.08
Village Council,Sambhucharan,1056.323424,Sepahijala,Jampuijala,Jampuijala,Gabordi,East Ratanpur,2023,2.11,15.98,57.2,2.42,77.71
Village Council,Jhilingma,494.2356409,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2023,0.56,9.52,31.23,0.77,42.08
Village Council,East Belbari,453.2551192,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2023,5.34,9.36,29.73,3.81,48.24
Village Council,GangiaTwisa,808.5594931,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2023,30.1,27.82,64.61,27.91,150.44
Village Council,Zarzui,2625.122041,Sepahijala,Jampuijala,Jampuijala,Thelakung,Killaverma,2023,406.51,226.44,193.48,349.69,1176.12
Village Council,Thansa Bodol,608.7297654,West Tripura,Jirania,Champknagar,Champaknagar,East Belbari,2023,8.77,10.98,35.45,5.35,60.55
Village Council,R.C. Para,610.435285,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2023,59.79,43.82,44.26,46.95,194.82
Village Council,Rwngsakha Bodal,1114.040719,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2023,260.44,151.39,50.87,260.65,723.35
Gram Panchayet,Sardukarkari,763.8604331,Khowai,Teliamura,Teliamura,Baramura,West Howaibari,2023,101.74,55.69,50.94,75.25,283.62
Village Council,Narangbari,548.9922902,West Tripura,Jirania,Champknagar,Champabari,Champabari,2023,127.18,63.65,28.14,100.44,319.41
Village Council,Bamsree Twisa,988.0470486,West Tripura,Jirania,Champknagar,Belbari,Belbari,2023,7.66,12.71,52.91,4.99,78.27
Village Council,Deven Twisa,257.7500973,West Tripura,Jirania,Champknagar,Champabari,Champabari,2023,46.06,25.05,12.48,33.49,117.08
Gram Panchayet,Hawaibari,453.0709333,Khowai,Teliamura,Teliamura,Baramura,Tuichindrai,2023,60.06,29.71,38.2,30.95,158.92
Village Council,KC Para,419.685934,West Tripura,Jirania,Champknagar,Champaknagar,Champaknagar,2023,16.5,15.27,23.36,12.48,67.61
Village Council,Tuidolnai Bodal,1384.314552,Khowai,Teliamura,Mungiakami,Chakmaghat,Manik Debbarma,2023,83.95,59.29,95.82,65.32,304.38
Village Council,Emmanualpara,364.6582798,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2023,52.65,47.8,22.33,44.93,167.71
Village Council,Bardwal,455.7130481,West Tripura,Jirania,Champknagar,Champabari,Champabari,2023,90.93,61.5,24.91,81.55,258.89
Gram Panchayet,Raktiacherra,171.4258716,West Tripura,Jirania,Mandwi,Raktiacherra,East Debendranagar,2023,1.93,2.14,9.75,1.01,14.83
Gram Panchayet,Hamkrai,242.3003235,West Tripura,Jirania,Champknagar,Champaknagar,East Debendranagar,2023,5.33,5.14,12.56,3.27,26.3
Village Council,Aitorma Bodal,956.2202273,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2023,160.93,100.36,60.99,118.73,441.01
Village Council,Marthandol,2308.55503,Khowai,Teliamura,Mungiakami,Kakracherra,Nonacherra,2023,425.34,285.6,122.76,379.66,1213.36
Village Council,Sinai Kami,600.5737967,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2023,59.71,52.79,39.72,43.61,195.83
Village Council,Hardai,1250.351026,Khowai,Teliamura,Teliamura,Baramura,South Hadrai,2023,123.24,70.09,88.8,73.38,355.51
Village Council,Bongshimukha,935.1699561,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2023,166.26,85.42,51.51,173.39,476.58
Village Council,Thaipungbil,852.3689685,Khowai,Teliamura,Mungiakami,Nugraipara,Atharamura,2023,243.41,105.71,33.08,219.01,601.21
Village Council,Khakaham,567.0715825,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,146.97,80.77,20.11,120.95,368.8
Village Council,Dumti Para,752.877888,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2023,82.73,74.83,56.93,69.13,283.62
,Madhya Krishnapur,469.8775625,Khowai,Teliamura,Teliamura,Teliamura,,2023,12.17,7.12,24.35,4.42,48.06
Village Council,Brigudas Bari,694.1745004,West Tripura,Jirania,Mandwi,Raktiacherra,Khamting Bari,2023,91.72,63.05,62.54,88.64,305.95
Village Council,Kwtal Bodal,710.2921832,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2023,147.05,74.56,31.28,167.45,420.34
Village Council,Chakmaghat,461.2175662,Khowai,Teliamura,Mungiakami,Chakmaghat,East Laxmipur,2023,54.97,20.97,29.87,21.12,126.93
Village Council,Twikalai Kami,112.8057999,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2023,7.62,9.02,10.89,6.05,33.58
Village Council,Bolong Hamkrai Bodal,1163.993651,Khowai,Teliamura,Mungiakami,Mungiakami,Haludia,2023,108.42,73.56,75.04,102.05,359.07
Village Council,Khatansa Bodal,848.2575129,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,265.98,109.03,23.84,242.96,641.81
Village Council,Sichandi,527.2463433,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2023,34.98,35.63,34.71,32.68,138
,Uttar Krishnapur,405.416345,Khowai,Teliamura,Teliamura,Teliamura,,2023,4.9,4.69,22.37,1.43,33.39
Village Council,Manikung Kami,633.7950245,West Tripura,Jirania,Mandwi,Manikung,Dinakobra,2023,58.13,50.09,54.19,56.56,218.97
Village Council,Lokuhamkrai Bodal,548.5815764,Khowai,Teliamura,Mungiakami,Mungiakami,Atharamura,2023,133.43,53.97,22.94,158.05,368.39
Village Council,Jorkaham,663.7408709,Khowai,Teliamura,Teliamura,Duski,North Pulinpur,2023,94.02,57.51,45.19,74.98,271.7
Village Council,Yaprikwtal Bodal,353.5711685,Khowai,Teliamura,Tulashikhar,Champahour,Atharamura,2023,114.93,52.12,8.07,104.32,279.44
Village Council,Salkaham,801.5200181,Khowai,Teliamura,Teliamura,Duski,Duski,2023,33.36,19.13,51.13,22.08,125.7
,Laxmipur,149.0905668,Khowai,Teliamura,Teliamura,Teliamura,,2023,1.51,1.61,7.54,0.35,11.01
Village Council,Burakha Kami,325.6099842,West Tripura,Jirania,Mandwi,Burakha,Borakha,2023,2.33,5.37,21.6,0.99,30.29
Village Council,Chubanai Bodal,962.668336,Khowai,Teliamura,Mungiakami,Chakmaghat,South Maharanipur,2023,107.59,45.55,79.11,45.37,277.62
Village Council,Shibnagar,658.9389267,West Tripura,Jirania,Mandwi,Burakha,South Shibnagar,2023,1.99,10.62,42.64,1.3,56.55
Village Council,Salkiyokjak,512.4852855,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,168.85,64.96,19.51,114.55,367.87
Village Council,Khabaksa Bodal,915.5371476,Khowai,Teliamura,Mungiakami,Mungiakami,Ramkrishnapur,2023,105.65,64.23,53.59,71.51,294.98
Village Council,Kathiram Bari,548.7281058,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2023,2.66,5.92,26.42,1.12,36.12
Village Council,Hamari Bodal,889.0235857,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2023,115.37,71.04,64.41,99.25,350.07
Village Council,Yeakbaksa Bodal,692.2849676,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,123.22,79.75,29.78,117.34,350.09
Village Council,Yakhrai Bodal,730.4677594,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2023,111.71,61.97,49.21,90.94,313.83
Village Council,Matai Para,345.9617924,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2023,17.13,9.66,22.89,16.42,66.1
Village Council,Hamkrai Bodal,567.2231095,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,167.15,81.59,15.62,147.5,411.86
Village Council,Lamsokjak Bodal,1169.606884,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2023,159.18,97.26,77.13,147.47,481.04
Village Council,Triprabasti,718.4092429,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2023,207.3,113.4,17.09,208.9,546.69
Village Council,Twisamungkwrwi,254.1611871,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2023,10.22,6.85,17.18,4.23,38.48
Village Council,Kaithorai,1687.800184,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2023,81.47,71.03,130.82,53.88,337.2
Village Council,Khengra Para,498.0057867,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2023,28.63,26.82,38.45,21.1,115
Village Council,Jamilwng,369.7294727,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2023,19.91,19.91,39.91,14.29,94.02
Village Council,Hamari,368.9524223,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2023,22.92,17.54,25.85,16.33,82.64
Village Council,Twimatai,439.0815859,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2023,20.4,22.22,53.17,15.8,111.59
Village Council,Tiyarimairang,344.7478265,West Tripura,Mohanpur,Subalsing,Dumrakaridak,West Tamakari,2023,12.99,9.14,20.16,7.18,49.47
Village Council,Ramdayalbari,956.4929263,Khowai,Khowai,Padmabil,Paglabari,Paglabari,2023,19.27,20,60.76,11.55,111.58
Village Council,Jogendra Smriti,556.8319129,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2023,21.86,21,45.41,12.93,101.2
Village Council,Jorakwtal,188.021256,West Tripura,Mohanpur,Subalsing,Dumrakaridak,East Tamakari,2023,8.4,6.46,15.1,4.35,34.31
Village Council,Athukiri,328.079409,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2023,20.49,20.57,24.18,14.1,79.34
Village Council,Hridoy Choudhury,646.8259949,Khowai,Khowai,Padmabil,R C Ghat,Akhrabari,2023,3.22,7.37,33.9,1.67,46.16
Village Council,Salka,311.2900524,West Tripura,Mohanpur,Subalsing,Kambukcherra,East Tamakari,2023,11.1,11.8,23.31,7.97,54.18
Village Council,Hataikator,701.992399,West Tripura,Mohanpur,Subalsing,Dumrakaridak,Dumrakaridak,2023,29.11,28.41,74.3,18.95,150.77
Village Council,Ratiranjan,772.1418742,Khowai,Khowai,Padmabil,Paglabari,Twihaching Bari,2023,31.57,23.84,48.21,17.39,121.01
Village Council,Harefkator,377.6431325,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2023,19.53,16.39,24.6,8.71,69.23
Village Council,Kambukcherra,376.3477893,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2023,23.88,23.56,29.78,17.42,94.64
Village Council,Arunjoy,1665.226737,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2023,8.74,16.85,80.82,3.59,110
Village Council,South Gayamani,563.5030005,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2023,11.18,12.28,27.18,5.67,56.31
Village Council,Kwswrang,406.2570202,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2023,14.72,15.59,38.14,11.27,79.72
Village Council,North Gayamani,358.9455454,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2023,13.04,13.94,20.64,8.52,56.14
Village Council,Krishna Debbarma,392.6675964,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2023,1.15,3.33,15.85,0.35,20.68
,Bairagi Para,459.1062562,Unakoti,Kumarghat,Machmara,Krishnatilla,,2023,37.87,46.91,37.63,31.35,153.76
Village Council,Umanjoy Para,1324.372315,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2023,133.63,170.98,94.25,132.1,530.96
Village Council,B.C. Para,1039.780901,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2023,57.29,59.9,82.48,38.17,237.84
Village Council,Dhaniram Debbarma,505.0670984,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2023,11.38,11.63,28.36,5.85,57.22
Gram Panchayet,Upendra,1302.626125,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2023,11.29,10.51,57.62,1.75,81.17
Village Council,Bhupendra Debbarma,921.4659642,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2023,2.42,8.42,38.73,0.96,50.53
Village Council,Samung Kaham Bodal,155.7792157,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2023,6.85,3.66,9.73,3.72,23.96
Village Council,Ganthalwng,121.7226639,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2023,4.88,5.08,7.76,3.01,20.73
Village Council,Pirkha,443.7869472,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2023,18.87,19.21,37.51,12.83,88.42
Village Council,Tentuikhar,330.6425565,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2023,11.47,9.99,24.85,5.79,52.1
Village Council,Thancha,1315.439899,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2023,219.15,125.46,58.39,198.71,601.71
Village Council,Mathura Para,1136.29865,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2023,57.24,69.12,98.79,56.89,282.04
Village Council,Hakwithang,576.5839843,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2023,16.29,16.33,31.89,8.58,73.09
Village Council,Masrai Para,372.2790162,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2023,11.86,9.81,25.74,6.79,54.2
Village Council,Dhananjoy Para,247.5145911,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,7.03,8.16,17.34,6.67,39.2
Village Council,Panbagan,1459.950568,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2023,98.29,142.15,120.09,85.1,445.63
Village Council,Dalam Para,376.1284422,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2023,36.43,47.13,32.68,28.69,144.93
Village Council,Khabaksa,939.0123611,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2023,252.45,139.9,30.17,252.24,674.76
Village Council,Sanduk Hamkrai,1057.843128,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2023,4.76,9.73,45.93,2.63,63.05
Village Council,Bolong Swnamnai,757.227566,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2023,134.15,93.2,37.88,123.02,388.25
Village Council,Yapribaksa,1663.53672,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2023,92.22,53.08,92.08,42.6,279.98
Village Council,Salkwtal,349.9848214,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2023,3.32,4.14,17.02,1.89,26.37
Village Council,Dangarai Para,492.3056988,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2023,29.89,37.84,39.24,23.67,130.64
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,36.14,43.08,67.37,29.49,176.08
Village Council,G.C. Para,261.1943691,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2023,15.63,13.56,19.32,10.71,59.22
Village Council,Bagabil,596.2403052,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2023,21.07,20.22,37.65,15.11,94.05
Village Council,Lamphunuknai,320.5741899,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2023,20.48,11.62,18.87,8.69,59.66
Village Council,Purba Simna,570.2461875,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2023,8.18,12.41,34.89,4.88,60.36
Village Council,Sakya Adam,635.1500827,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,34.8,39.3,56.44,31.5,162.04
Village Council,Singharam Para,472.2179033,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2023,19.95,20.47,36.64,14.72,91.78
Village Council,Maharaja Bir Bikram,301.4093377,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2023,31.49,21.1,15.41,21.3,89.3
Village Council,Rosomala Debbarma,1151.072756,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2023,238.01,128.94,91.49,199.83,658.27
Village Council,Ramdula,927.1329697,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2023,30.03,42.5,49.27,23.49,145.29
Village Council,Chandrakha,700.4215163,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2023,74.66,88.59,56.18,62.78,282.21
Village Council,Rangchak Balong,1303.400489,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2023,89.18,86.12,96.75,67.95,340
Village Council,Chong Chong,312.830333,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2023,22.58,27.97,25.6,20.93,97.08
Village Council,Sadhu Chandra Para,1576.611322,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2023,186.61,199.81,124.78,145.4,656.6
Village Council,Bidyabil,724.5156337,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2023,23.68,15.1,40.93,12.08,91.79
Village Council,Agarchandra Debbarma,921.8051355,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2023,27.48,9.26,50.32,3.84,90.9
Village Council,Bhudha Valley,926.3796735,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2023,104.82,96.38,74.78,59.35,335.33
Village Council,Kamalapur,527.2827228,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2023,11.44,12.71,40.2,8.58,72.93
Village Council,Egattor,359.8117979,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2023,10.67,13.19,28.44,8.75,61.05
Village Council,Udandi,683.2902425,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2023,9.63,12.25,52.99,5.58,80.45
Gram Panchayet,Sabujbanani,2352.479441,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2023,14.46,24.41,149.64,7.75,196.26
Village Council,Baghaicherra,162.0663215,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2023,5.71,8.9,14.03,5.05,33.69
Village Council,Greengold,323.9116783,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2023,18.45,17.23,25.51,11.93,73.12
Village Council,Banabithi,415.1247836,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2023,29.19,20.97,31.59,14.23,95.98
Village Council,Khakchang,938.178997,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2023,45.8,37.44,64.01,39.88,187.13
Village Council,Ujan Baghaicherra,513.028386,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2023,11.09,17.17,44.53,8.18,80.97
Village Council,Sonarampara,368.8073558,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2023,11.28,12.78,28.56,7.65,60.27
Village Council,Kelthang Twisa,574.1414759,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2023,23.54,22.32,42.24,19.82,107.92
Gram Panchayet,Banasree,718.5559532,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2023,8.73,7.3,33.2,3.01,52.24
Village Council,Banaraj,850.9225082,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2023,59.91,59.84,80.28,31.99,232.02
Village Council,Sundarvan,668.2961625,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2023,53.91,35.65,46.4,28.33,164.29
Village Council,Gobindabari,1253.152292,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2023,22.84,23.95,96.5,17.89,161.18
Village Council,Judamonipara,1356.324446,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2023,155.64,96.58,123.45,102.97,478.64
Village Council,Bru-Kami,333.9911314,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2023,44.98,40.5,26.55,22.81,134.84
Village Council,Greenland,596.3811035,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2023,76.82,57.45,47.25,40.48,222
Village Council,Rachiline,713.2991011,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2023,21.94,23.96,66.39,16.47,128.76
Gram Panchayet,Kalagang,261.3701906,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2023,0.97,2.49,12.8,0.41,16.67
Village Council,Mundaline,822.7660942,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2023,4.66,9.67,56.11,5.1,75.54
Village Council,Phaiko,429.562075,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2023,26.69,28.89,32.71,23.24,111.53
Village Council,Seba Ch. Para,1317.221818,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2023,25.07,34.56,89.81,21.81,171.25
Village Council,Tailenbari,600.3476521,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2023,76.47,61.84,45.85,49.25,233.41
Gram Panchayet,Moracherra,1034.883999,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2023,85.52,84.06,92.24,54.21,316.03
NP,C.H Para JFMC,816.7935103,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2023,2.35,3.83,36.82,1.44,44.44
Village Council,Seisimdung,651.3098702,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2023,59.67,64.02,49.97,46.72,220.38
Gram Panchayet,Buthuhill,1078.554632,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2023,36.96,35.34,68.02,20.65,160.97
