GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Amarendranagar,604.8368944,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Amarendra Nagar,2020,5.43,6.6,30.13,2.14,44.3
Gram Panchayet,Manikyanagar,1294.791553,Sepahijala,Sonamura,Boxanagar,Boxanagar,Manikyanagar,2020,8.7,8.1,63.29,14.99,95.08
Gram Panchayet,Veluarchar,940.9937277,Sepahijala,Sonamura,Boxanagar,Veluarchar,Ashabari,2020,5.91,2.57,15.97,11.52,35.97
Village Council,Dingroi,832.489853,Sepahijala,Jampuijala,Jampuijala,Amarendranagar,Hachuk Khurio,2020,18.71,19.22,40.54,10.25,88.72
Village Council,Pitra Hatai,1001.214832,Sepahijala,Jampuijala,Jampuijala,Thelakung,Choygharia,2020,92.52,73.93,81.94,79.68,328.07
Village Council,Khumpoi Bodal,1311.984338,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pekuarjala,2020,13.24,18.36,93.66,5.14,130.4
Village Council,Aitorma,297.0864029,Sepahijala,Jampuijala,Jampuijala,Jampuijala,West Takerjala,2020,0.81,1.74,13.1,0.5,16.15
Village Council,Mohanpur,961.9625819,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Mohanpur,2020,14.18,15.24,50.01,4.58,84.01
Village Council,Vasaitipu,349.2609026,Sepahijala,Amarpur,Jampuijala,Thelakung,Palku,2020,39.46,40.92,32.15,31.93,144.46
Village Council,Salka,943.5708652,Sepahijala,Jampuijala,Jampuijala,Jampuijala,North Takarjala,2020,5.1,8.74,53.7,2.51,70.05
Village Council,Pravapur,859.7069279,Sepahijala,Jampuijala,Jampuijala,Kalkalia,Pravapur,2020,4.71,9.36,37.61,2.92,54.6
Village Council,Sindai Bodal,646.6846409,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2020,21.23,17.81,39.69,6.36,85.09
Village Council,Patirai Bodal,698.6805436,Sepahijala,Jampuijala,Jampuijala,Jampuijala,East Takerjala,2020,5.82,13.06,47.93,2.39,69.2
Village Council,Singna Dol,3614.23829,Khowai,Teliamura,Mungiakami,Haludiachara,Nonacherra,2020,730.53,636.69,116.01,1312.61,2795.84
Village Council,Sambhucharan,1056.323424,Sepahijala,Jampuijala,Jampuijala,Gabordi,East Ratanpur,2020,16.26,22.47,53.05,11.69,103.47
Village Council,Jhilingma,494.2356409,Sepahijala,Jampuijala,Jampuijala,Gabordi,Ratanpur,2020,5.9,9.95,26.16,5.43,47.44
Village Council,East Belbari,453.2551192,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2020,16.21,19.02,21.2,18.12,74.55
Village Council,GangiaTwisa,808.5594931,West Tripura,Jirania,Champknagar,Belbari,Bikram Molsom,2020,58.96,73.69,38.84,100.61,272.1
Village Council,Zarzui,2625.122041,Sepahijala,Jampuijala,Jampuijala,Thelakung,Killaverma,2020,312.97,351.28,177.79,394.61,1236.65
Village Council,Thansa Bodol,608.7297654,West Tripura,Jirania,Champknagar,Champaknagar,East Belbari,2020,21.15,28.02,32.93,20.5,102.6
Village Council,R.C. Para,610.435285,West Tripura,Jirania,Champknagar,Champabari,Champaknagar,2020,117.52,99.9,17.56,182.29,417.27
Village Council,Rwngsakha Bodal,1114.040719,Khowai,Teliamura,Mungiakami,Kakracherra,Kakracherra,2020,221.95,239.9,35.56,347,844.41
Gram Panchayet,Sardukarkari,763.8604331,Khowai,Teliamura,Teliamura,Baramura,West Howaibari,2020,122.49,79.01,49.7,153.43,404.63
Village Council,Narangbari,548.9922902,West Tripura,Jirania,Champknagar,Champabari,Champabari,2020,149.59,107.39,8.87,196.61,462.46
Village Council,Bamsree Twisa,988.0470486,West Tripura,Jirania,Champknagar,Belbari,Belbari,2020,25.07,29.69,47.9,20.21,122.87
Village Council,Deven Twisa,257.7500973,West Tripura,Jirania,Champknagar,Champabari,Champabari,2020,54.45,40.22,6.42,78.97,180.06
Gram Panchayet,Hawaibari,453.0709333,Khowai,Teliamura,Teliamura,Baramura,Tuichindrai,2020,91.71,61.02,20.72,117.48,290.93
Village Council,KC Para,419.685934,West Tripura,Jirania,Champknagar,Champaknagar,Champaknagar,2020,27.83,26.55,18.44,35.23,108.05
