GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,25.66,138.36,174.36,182.65,2022,521.03
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,116.95,503.23,354.71,336.82,2022,1311.71
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,48.83,96.01,84.16,65.46,2022,294.46
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,63.79,224.71,146.6,125.08,2022,560.18
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,48.93,262.13,167.27,101.23,2022,579.56
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,68.63,372.02,521.92,563.52,2022,1526.09
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,48.05,168.08,166.26,184.03,2022,566.42
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,36.73,250.3,157.09,86.71,2022,530.83
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,45.31,90.45,85.7,96.95,2022,318.41
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,72.07,903.62,645.72,318.04,2022,1939.45
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,185.34,217.58,162.95,141.51,2022,707.38
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,51.88,397.37,259.53,147.29,2022,856.07
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,12.07,132.48,91.05,38.82,2022,274.42
Village Council,Samal Twisa,3075.03492394,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,51.79,431.54,609.03,648.84,2022,1741.2
Gram Panchayet,Newlife,404.453588489,Gomati,Amarpur,Killa,Nitya Bazar,Debbari,6.48,41.55,74.72,109.74,2022,232.49
Village Council,Tuichakma,1369.39587677,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,59.82,424.22,255.38,92.51,2022,831.93
Village Council,Sangranma EDC,564.976198781,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,25.8,155.13,135.48,71.5,2022,387.91
Village Council,Beledi EDC,1637.86754538,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,93.01,393.63,252.66,304.94,2022,1044.24
Village Council,Kamalai,446.579247994,Gomati,Amarpur,Ampi,Chechua,Lalgiri,29.48,103.11,100.53,59.29,2022,292.41
Village Council,Bankarai Para,1537.91756356,Gomati,Amarpur,Amarpur,Bampur,Gungia,41.93,185.26,251.92,415.52,2022,894.63
Village Council,Sukmohan JFMC (e Beat),1533.31558346,Gomati,Udaipur,Killa,Nitya Bazar,Dewanbari,121.82,279.44,255.72,356.8,2022,1013.78
Village Council,Uttar Thakurcherra,784.793738606,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Pancharatan,29.78,247.79,166.34,68.15,2022,512.06
Village Council,Ranipukur EDC,1044.58660753,Dhalai,Gandacherra,Gonda Twisa,Rani Pukur,Ranir Pukur,54.33,339.49,241.12,112.64,2022,747.58
Gram Panchayet,Puskini,1252.60892601,Gomati,Amarpur,Killa,Uttar Baramura,Bampur,145.67,370.66,197.57,175.19,2022,889.09
Village Council,Chhankhola,981.427272311,Gomati,Udaipur,Killa,Uttar Baramura,South Brajendra Nagar,110.31,207.73,178.91,181.27,2022,678.22
Village Council,Ramnagar EDC,1100.93826337,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,95.91,309.58,227.92,167.29,2022,800.7
Village Council,Omlakbari,569.041694708,Gomati,Udaipur,Killa,Nitya Bazar,Noabari,93.4,118.92,101.38,112.86,2022,426.56
Village Council,Biswaram Para EDC,159.819158467,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,1.29,17.12,38.1,23.96,2022,80.47
Village Council,Nagarai Bangsi,735.013897708,Gomati,Amarpur,Ampi,Chechua,South Sangang,52.44,120.46,119.9,169.15,2022,461.95
Village Council,Mach kumir EDC,653.566986486,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,124.41,245.27,88.05,35.87,2022,493.6
Village Council,Kalajhari,2429.89047419,Gomati,Amarpur,Amarpur,Kalajhari,Gungia,13.76,271.76,532.69,493.11,2022,1311.32
Village Council,Hatimatha,281.115423049,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Tuichakma,8.51,100.64,58.5,12.92,2022,180.57
Village Council,Joychandra Para,644.176647335,Gomati,Amarpur,Amarpur,Sarbong,West Sarbong,56.01,179.62,118.88,94.81,2022,449.32
Village Council,North Sarma,826.505940311,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Narayan Pur,39.07,264.75,188.05,50.87,2022,542.74
Village Council,Laxmipur EDC,277.791337855,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Dhalajhari,5.84,42.58,61.48,51.87,2022,161.77
Village Council,Old Dalapati,1235.61875047,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Sarma,24.94,313.26,283.94,100.17,2022,722.31
Village Council,Mohankanta,1689.98615462,Gomati,Udaipur,Killa,Uttar Baramura,South Baramura,38.59,222.09,276.6,436.26,2022,973.54
Village Council,Sinsat,380.392529214,Gomati,Udaipur,Killa,Killa,Darjeeling,14.15,58.79,75.84,84.87,2022,233.65
Village Council,Thandachara,1124.8808031,Gomati,Udaipur,Killa,Khupilong,Kachigang,69.74,193.22,318.33,271.44,2022,852.73
Village Council,Salka,1667.3399919,Gomati,Amarpur,Ampi,Dhanlekha,Sonacherra,138.08,366.76,328.2,337.91,2022,1170.95
Village Council,Marua Colony,622.74700385,Gomati,Amarpur,Ampi,Chechua,South Sangang,9.21,43.36,82.3,218.68,2022,353.55
Village Council,Naharmabadal,1058.88519173,Gomati,Udaipur,Killa,Killa,Joyingbari,61.05,171.44,183.68,292.6,2022,708.77
Village Council,Chandrakumar EDC,1495.18798018,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Laxmipur,114.58,330.87,297.81,203.52,2022,946.78
Village Council,Atharabhola JFMC,496.808017671,Gomati,Udaipur,Killa,T.C Bari,Jalema,40.75,123.93,165.92,72.6,2022,403.2
Village Council,Thumbari,1274.37531363,Gomati,Udaipur,Killa,Killa,North Baramura,18.91,126.37,188.39,408.44,2022,742.11
Village Council,Haja Twisha,1493.50833705,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Dalapati,17.78,344.27,364.85,136.41,2022,863.31
Village Council,Ganda Twisa,3575.59010867,Gomati,Amarpur,Amarpur,Bampur,East Sarbong,39.23,321.76,617.79,948.72,2022,1927.5
Village Council,Rangajhari EDC,643.266796865,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,19.62,111.76,138.07,111.02,2022,380.47
Village Council,Kanankta Para,1994.00771791,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Uttar Gandacherra,47.93,480.84,509.76,167.17,2022,1205.7
Village Council,Longdhor,529.550897599,Gomati,Udaipur,Killa,Khupilong,Bagma,49.71,138.5,166.12,79.3,2022,433.63
Village Council,Ha Khamber,1676.57092761,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Kalyansing,17.32,401.51,347.34,110.91,2022,877.08
Village Council,Tangpaiya,4038.91704244,Gomati,Amarpur,Ampi,Ekjamchara,Ekjancherra,93.84,526.21,694.3,1014.9,2022,2329.25
Village Council,Serthum,588.342322225,Gomati,Amarpur,Ampi,Ampi,North Sangang,12.63,68.21,116.15,145.8,2022,342.79
Village Council,Jari Milre EDC,479.129054769,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,11.96,112.31,125.62,67.37,2022,317.26
Village Council,Karna kishore,843.573821707,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,2.61,164.66,200.03,69.67,2022,436.97
Village Council,Kunarampara,431.406134638,Gomati,Amarpur,Ampi,Ekjamchara,Melchi,26.62,87.91,95.32,83.7,2022,293.55
Village Council,Temtui Kami,1542.28926988,Gomati,Amarpur,Ampi,Ampi,Chechua,141.88,347.0,262.23,306.76,2022,1057.87
Village Council,Mohannya Para,830.55952729,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bhagirath,3.19,128.79,206.24,80.47,2022,418.69
Village Council,Manthar,2448.32327165,Gomati,Udaipur,Killa,Killa,North Brajendra Nagar,107.2,402.46,475.98,658.09,2022,1643.73
Village Council,Hojagiri,236.027566788,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2.42,36.27,55.45,41.31,2022,135.45
Village Council,New Boncher,741.980581738,Gomati,Amarpur,Ampi,Ampi,Baishyamani,6.94,53.96,137.36,233.62,2022,431.88
Village Council,Atharamura,878.17251714,Gomati,Amarpur,Ampi,Ekjanchara,Gamaicherra,52.6,162.85,161.7,147.01,2022,524.16
Village Council,Lailak,1955.89556295,Gomati,Udaipur,Killa,T.C Bari,North Baramura,9.4,129.81,321.01,603.14,2022,1063.36
Village Council,Nelsi,572.938042447,Gomati,Amarpur,Ampi,Ampi,Ompinagar,101.48,165.89,88.76,89.83,2022,445.96
Village Council,Dalirai EDC,629.211105796,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,12.17,108.26,144.29,66.84,2022,331.56
Village Council,20 Kilo,1421.68418844,Gomati,Amarpur,Ampi,Dhanlekha,Gamaicherra,5.4,152.69,277.5,388.42,2022,824.01
Village Council,Balong Hamkrai Bodal EDC,838.229304652,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,29.62,228.46,195.58,110.45,2022,564.11
Village Council,Girachandra Para JFMC,1164.76782806,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,12.52,267.03,234.7,66.88,2022,581.13
Village Council,Nabakumar Para,706.868391588,Dhalai,Ambassa,Gonda Twisa,Bhagirath Para,Siddha Para,4.36,151.39,146.22,47.37,2022,349.34
Village Council,Salka,1142.3686874,Gomati,Amarpur,Amarpur,Sarbong,Haripur,100.3,214.68,202.42,225.01,2022,742.41
Village Council,Lungthang,1176.68077564,Gomati,Amarpur,Ampi,Dhanlekha,Toidudhepa,51.17,156.53,217.66,364.42,2022,789.78
Village Council,Ruhida & Rajaram,1001.25996196,Gomati,Amarpur,Ampi,Chankhala,East Taichalong,31.37,113.06,187.04,227.75,2022,559.22
Village Council,Agachaimarua,1831.60294938,Gomati,Udaipur,Killa,T.C Bari,North Baramura,4.19,100.05,296.57,604.03,2022,1004.84
Village Council,Punlonga,518.544435583,Gomati,Amarpur,Ampi,Taidu,Taidu,37.9,113.21,108.52,141.51,2022,401.14
Village Council,Ramthwk,596.327238508,Gomati,Amarpur,Ampi,Chankhala,West Taichhlong,51.9,101.13,93.48,153.77,2022,400.28
Village Council,Athukrai,317.868260926,Dhalai,Ambassa,Ganganagar,Ganganagar,Radharambari,3.57,71.61,78.25,26.25,2022,179.68
Village Council,Yakbaksa,788.462383816,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,10.16,185.39,193.01,40.54,2022,429.1
Village Council,Harung Para,1368.11003648,Gomati,Amarpur,Ampi,Chankhala,Jambukcherra,125.21,237.69,234.23,333.4,2022,930.53
Village Council,Y-Ghati,1635.05976157,Gomati,Amarpur,Killa,T.C Bari,Palku,19.04,137.74,294.66,541.58,2022,993.02
Village Council,Batapara,3745.07682631,Gomati,Amarpur,Ampi,Chankhala,Ompicherra,42.84,391.53,632.39,1104.78,2022,2171.54
Village Council,Sisathai,514.241629853,Dhalai,Ambassa,Ganganagar,Karnamanipara,Ganganagar,2.41,106.53,124.78,41.52,2022,275.24
Village Council,Lungfung,1881.54096483,Gomati,Amarpur,Ampi,Taidu,North Toidu,97.06,318.45,437.42,560.88,2022,1413.81
Village Council,Nithok,652.387964658,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,31.57,189.6,156.5,45.8,2022,423.47
Village Council,Salpaha,1158.13871714,Dhalai,Ambassa,Ganganagar,Karmapara,Karma Para,14.07,129.05,238.94,179.73,2022,561.79
Village Council,Karasmai,1421.65324712,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,16.16,177.31,322.99,254.87,2022,771.33
Village Council,Tongthai,2842.31808744,Dhalai,Ambassa,Ganganagar,Karnamanipara,Tetaiya,15.62,624.67,535.92,133.12,2022,1309.33
Village Council,Khumber,1493.3623,Dhalai,Ambassa,Gonda Twisa,Ganganagar,Karanmani Para,4.85,279.41,371.46,127.55,2022,783.27
Village Council,Chaskhang,1573.75377408,Dhalai,Ambassa,Ganganagar,Karnamanipara,Gurudhan Para,15.22,377.27,381.31,104.04,2022,877.84
Village Council,Tuiyari,1186.53377723,Dhalai,Ambassa,Ganganagar,Karnamanipara,Gurudhan Para,13.22,255.55,233.95,142.96,2022,645.68
Village Council,Hamiyakma,1139.69679265,Dhalai,Ambassa,Ganganagar,Karmapara,Karma Para,14.52,125.77,223.07,195.67,2022,559.03
Village Council,LamKaham,1467.63399723,Dhalai,Ambassa,Ganganagar,Karnamanipara,Karanmani Para,27.1,335.0,315.03,122.68,2022,799.81
Village Council,Khasrang,1895.74790361,Dhalai,Ambassa,Ganganagar,Karnamanipara,Karanmani Para,16.98,245.28,439.54,194.13,2022,895.93
Gram Panchayet,Balipara,51.3958995764,South Tripura,Sabroom,Satchand,Betaga,Indiranagar,10.02,14.72,11.91,3.58,2023,40.23
Gram Panchayet,Nathurampara,404.819844884,South Tripura,Sabroom,Srinagar,Amlighat,Amlighat,35.46,106.46,111.88,35.46,2023,289.26
Village Council,Herbatali,906.827718162,South Tripura,Belonia,Satchand,Betaga,Harbatali,82.26,217.56,262.09,105.48,2023,667.39
Village Council,Bhangamura,1082.58244613,South Tripura,Belonia,Srinagar,Amlighat,Harbatali,33.52,154.7,361.28,191.08,2023,740.58
Village Council,Mandalipara,376.43932684,South Tripura,Sabroom,Satchand,Betaga,Ratanmani,28.98,97.48,128.56,33.69,2023,288.71
Gram Panchayet,Srinagar,484.922792835,South Tripura,Sabroom,Srinagar,Srinagar,Srinagar,55.04,174.22,153.18,35.86,2023,418.3
Village Council,Dulakchari,473.804181204,South Tripura,Sabroom,Srinagar,Amlighat,Ratanmani,15.32,64.56,155.56,84.11,2023,319.55
Gram Panchayet,Pongbari Kanalbari,440.919005037,South Tripura,Sabroom,Srinagar,Srinagar,Subashnagar,53.58,155.09,136.95,38.99,2023,384.61
Village Council,Khumchari,571.43460311,South Tripura,Sabroom,Srinagar,Srinagar,Dasharath Nagar,26.92,105.57,171.5,100.85,2023,404.84
Village Council,Uttar Betaga,909.238935141,South Tripura,Belonia,Satchand,Betaga,Betaga,43.79,206.09,345.7,81.54,2023,677.12
Village Council,South Baisnabpur,783.786813016,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,46.38,178.98,265.85,78.07,2023,569.28
Village Council,Joy Sing Bari,1079.85474589,South Tripura,Sabroom,Srinagar,Shankartilla,West Takkatulshi,18.62,105.18,343.15,193.6,2023,660.55
Village Council,Kaladhepa,371.514278694,South Tripura,Sabroom,Satchand,Manubazar,Kaladhepa,29.06,108.79,145.75,37.1,2023,320.7
Village Council,Dakshin Bijoypur,606.200783885,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,22.37,114.81,210.3,70.31,2023,417.79
Village Council,Gagrabosti,720.781687775,South Tripura,Sabroom,Bankul,Baisnabpur,Baishnabpur,65.76,153.45,198.99,76.1,2023,494.3
Gram Panchayet,Madhupara,625.815532408,South Tripura,Sabroom,Srinagar,Shankartilla,Rajnagar,10.59,58.37,137.2,201.07,2023,407.23
Village Council,Phulchari,186.967252257,South Tripura,Sabroom,Satchand,Manubazar,North Kaladhepa,13.4,53.0,79.89,14.81,2023,161.1
Village Council,Ramchanpara,2353.09572343,South Tripura,Sabroom,Srinagar,Shankartilla,East Tekka Tulshi R.F,55.9,316.89,781.64,420.37,2023,1574.8
Village Council,Salka,1057.32737303,South Tripura,Sabroom,Bankul,Magroom,Magroom,43.48,109.46,289.39,214.02,2023,656.35
Village Council,Mawchang,1020.3075696,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,32.44,127.58,296.23,187.04,2023,643.29
Gram Panchayet,Joypur,885.80361316,South Tripura,Belonia,Hrishyamukh,Nalua,Krishnanagar,98.59,248.72,262.84,131.04,2023,741.19
Village Council,Naya Bari,739.9747893,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,8.72,52.65,169.16,227.67,2023,458.2
Village Council,Lama Kahum,1077.67320808,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,13.06,75.9,244.2,365.57,2023,698.73
Gram Panchayet,Krishnanagar,681.827080141,South Tripura,Belonia,Hrishyamukh,Nalua,Haripur,59.49,173.01,210.62,139.22,2023,582.34
Village Council,Manoranjanpara,776.811393393,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,12.03,82.71,232.87,155.02,2023,482.63
Village Council,Brinda Kishore Roaja Para,1544.6498855,South Tripura,Sabroom,Bankul,Bankul,Bishnupur,39.41,298.24,497.83,168.04,2023,1003.52
Gram Panchayet,Malambari,941.44723087,South Tripura,Belonia,Hrishyamukh,Malambari,Hrishyamukh,89.29,261.21,328.38,147.47,2023,826.35
Village Council,Ananda Kumar,413.728472093,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,27.34,107.23,166.85,54.25,2023,355.67
Village Council,Chota Sakbari,347.640035295,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,28.45,93.2,132.67,40.3,2023,294.62
Village Council,Maa Bankumai,1965.79397961,South Tripura,Belonia,Hrishyamukh,Hrishyamukh,Dhananjoy Nagar,25.13,130.35,400.63,714.05,2023,1270.16
Village Council,Chati,608.126203007,South Tripura,Sabroom,Satchand,Bhuratali,North Taichima,35.05,117.24,228.76,82.72,2023,463.77
Gram Panchayet,Bhatubari,1539.28003877,South Tripura,Belonia,Hrishyamukh,Motai,Debipur,122.43,441.7,597.83,174.24,2023,1336.2
Village Council,Khakaham,709.415068979,South Tripura,Belonia,Kakulia,Manirambari,Manirampur,23.94,132.77,241.21,148.95,2023,546.87
Village Council,South Hichachara,1035.42012358,South Tripura,Santirbazar,Kakulia,Abhanga,Ramraibari,81.14,298.2,396.74,103.87,2023,879.95
Village Council,Thansha,687.607953157,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,10.28,61.29,144.0,261.22,2023,476.79
Village Council,Sachirambari,1705.56944018,South Tripura,Santirbazar,Kakulia,Abhanga,South Hichacherra,113.7,483.14,500.94,181.01,2023,1278.79
Village Council,Hakchal,775.586408288,South Tripura,Santirbazar,Kakulia,Srikantabari,Abangchara,34.27,150.95,232.27,126.49,2023,543.98
Gram Panchayet,Madhya Pilak,758.484846032,South Tripura,Santirbazar,Kakulia,Abhanga,South Jolaibari,45.69,193.92,292.51,76.24,2023,608.36
Village Council,Mohininagar,795.769978331,South Tripura,Belonia,Hrishyamukh,Motai,Mohini Nagar,22.38,78.24,176.73,301.15,2023,578.5
Gram Panchayet,Joykatpur,733.815354216,South Tripura,Belonia,Hrishyamukh,Motai,Baspadua,65.41,200.53,259.85,106.59,2023,632.38
Village Council,Khorangbaksha,1148.00517798,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,109.83,279.98,340.87,173.92,2023,904.6
Village Council,Pohar,1602.85924483,South Tripura,Santirbazar,Kakulia,Srikantabari,Tuirbhuma Kowaifung,12.05,127.23,504.1,359.38,2023,1002.76
Gram Panchayet,Kathalia,1385.90510724,South Tripura,Santirbazar,Kakulia,Muhuripur,Muhuripur,210.35,401.58,429.69,180.92,2023,1222.54
Village Council,Ambuchai,592.837673005,South Tripura,Belonia,Hrishyamukh,Ratanpur,Ratanpur,61.56,130.88,183.0,100.77,2023,476.21
Gram Panchayet,Khunati,1442.23013254,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,140.4,436.83,449.59,153.92,2023,1180.74
Gram Panchayet,Kasta Kumar Para,1104.2153466,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,54.06,228.83,383.76,136.91,2023,803.56
Gram Panchayet,Sakyamuni,752.264378597,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,62.98,252.18,272.82,85.91,2023,673.89
Gram Panchayet,Gaburchara,341.116399955,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,55.41,117.6,105.08,29.05,2023,307.14
Village Council,Sanghati,893.876368877,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,76.23,218.94,315.97,149.76,2023,760.9
Village Council,Khumthaima,615.063500273,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,16.8,86.39,194.46,120.31,2023,417.96
Village Council,Twisawatalok,862.388207809,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,33.3,127.37,296.44,145.9,2023,603.01
Village Council,Vaktiram,422.330906142,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,10.32,53.02,146.6,101.23,2023,311.17
Gram Panchayet,Swrangdi,1433.46054891,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,137.12,427.08,464.33,213.12,2023,1241.65
Village Council,Yakalam,1633.77252567,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,46.72,183.65,413.66,494.12,2023,1138.15
,Raikalam,247.275454696,South Tripura,Santirbazar,Bagafa,Bagafa,,4.66,20.1,57.43,73.9,2023,156.09
Village Council,Laxmicherra,1842.4554739,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,28.13,140.53,447.39,469.89,2023,1085.94
Village Council,Pragati,402.764040818,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,23.43,70.49,149.5,116.72,2023,360.14
Village Council,Rabithakur,658.744148845,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,92.2,240.33,175.32,29.82,2023,537.67
Village Council,Agragati,1325.87281894,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,27.4,112.74,255.77,469.61,2023,865.52
Gram Panchayet,Maitry,509.009811421,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,101.52,189.3,107.49,39.94,2023,438.25
Village Council,Twisawaklou,761.369388166,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,65.37,196.54,312.14,88.31,2023,662.36
Village Council,Taj,888.612506686,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,66.07,177.92,325.89,170.04,2023,739.92
Village Council,Twichoma,408.782866957,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,19.82,78.1,144.53,100.97,2023,343.42
Village Council,Paribartan,1214.43749487,South Tripura,Belonia,Bagafa,Bagafa,Debipur,7.35,63.7,212.32,471.5,2023,754.87
Gram Panchayet,Sanghati,999.114289477,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,189.72,344.3,210.35,39.84,2023,784.21
Gram Panchayet,Banakalayan,560.090779087,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,54.94,281.0,130.0,12.12,2023,478.06
Village Council,Kokbang Motha,438.549315413,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,10.31,52.01,110.29,159.03,2023,331.64
Village Council,Valasa,776.451286667,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,53.07,155.61,303.28,132.74,2023,644.7
Gram Panchayet,MBBKM,502.520168767,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,81.08,221.8,95.28,10.58,2023,408.74
Village Council,Patichari,1377.00627167,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,110.62,408.49,530.06,134.45,2023,1183.62
Village Council,Kamihumkrai,1231.93858827,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,42.39,173.81,396.75,317.53,2023,930.48
Village Council,Takma,1823.70062033,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,96.29,365.3,710.16,290.81,2023,1462.56
Village Council,Yaprikta,1758.70186956,South Tripura,Belonia,Bagafa,Devipur,Debipur,21.89,116.07,346.4,660.23,2023,1144.59
Village Council,Sabujdeep,1349.79597252,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,43.32,384.44,591.6,111.73,2023,1131.09
Village Council,Sonapur,477.951873531,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,49.35,166.91,146.94,14.97,2023,378.17
,Janakalyan,488.747277659,Sepahijala,Sonamura,Melaghar,Kalakhet,,48.28,217.67,160.58,15.49,2023,442.02
,Agragami,508.719874497,Sepahijala,Sonamura,Melaghar,Kalakhet,,90.28,204.67,132.03,19.76,2023,446.74
Gram Panchayet,Harichand Humkrai,576.980486944,Sepahijala,Sonamura,Melaghar,Induria,Baniachara,34.73,248.47,192.29,31.22,2023,506.71
Village Council,Chandulkami,1048.45460114,Sepahijala,Sonamura,Melaghar,Induria,Chandul,130.94,402.33,297.16,47.29,2023,877.72
Gram Panchayet,Indra Kumar Para,634.393480741,Sepahijala,Sonamura,Melaghar,Bairagibazar,Bejimara,119.37,212.08,162.42,24.47,2023,518.34
,Ramapadapara,122.991213557,Sepahijala,Sonamura,Melaghar,Sonamara,,8.98,48.73,41.19,5.26,2023,104.16
Gram Panchayet,Matinagar,1617.82966655,Sepahijala,Sonamura,Boxanagar,Matinagar,Matinagar,203.99,756.07,352.62,23.95,2023,1336.63
Village Council,Panchnaliya,647.303111942,Sepahijala,Sonamura,Boxanagar,Matinagar,Dhanirampur,29.78,251.4,216.26,42.3,2023,539.74
Gram Panchayet,Kamalnagar,627.091768573,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Kamalnagar,87.72,303.44,136.66,7.68,2023,535.5
Village Council,Bijoynagar,874.579267008,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,70.16,280.07,272.45,38.01,2023,660.69
Gram Panchayet,South Kalamchowra,656.865334562,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,112.16,282.53,141.64,12.83,2023,549.16
Gram Panchayet,North Kalamchowra,533.959137835,Sepahijala,Sonamura,Boxanagar,Kalamchowra,South Kalamchora,121.25,208.05,95.75,10.25,2023,435.3
Village Council,Anandanagar,446.009744782,Sepahijala,Sonamura,Boxanagar,Kamalnagar,Bijoynagar,54.7,116.86,67.55,12.11,2023,251.22
Gram Panchayet,Ashabari,822.338754546,Sepahijala,Sonamura,Boxanagar,Ashabari,North Kalamchoura,113.3,324.96,174.47,25.6,2023,638.33
Gram Panchayet,Kalshimura,502.227323255,Sepahijala,Sonamura,Boxanagar,Boxanagar,Kalshimura,87.11,225.71,89.2,13.78,2023,415.8
Village Council,Tarapadabari,244.503939572,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,35.94,99.44,52.32,4.36,2023,192.06
Village Council,Goliraibari,810.030561919,Sepahijala,Jampuijala,Charilam,Pramodnagar,Goliraibari,89.1,299.89,271.15,24.77,2023,684.91
Gram Panchayet,Puttia,262.831221619,Sepahijala,Sonamura,Boxanagar,Veluarchar,Boxanagar,96.65,100.28,30.74,10.11,2023,237.78
