GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Dhaniram Debbarma,505.067098395,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2020,0.0,18.22,24.34,26.75,20.79,46.12,41.66,28.44,90.97,47.19,44.39,67.78,31.7,16.67,505.02
Gram Panchayet,Upendra,1302.6261251,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2020,0.0,42.82,39.47,65.35,21.94,96.11,82.21,77.92,173.51,122.45,219.3,184.0,104.07,73.46,1302.61
Village Council,Bhupendra Debbarma,921.465964168,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2020,0.0,6.58,13.19,54.64,7.63,49.88,105.06,82.23,293.11,102.44,77.32,67.81,45.27,16.42,921.58
Village Council,Samung Kaham Bodal,155.779215699,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2020,0.0,4.93,6.09,8.98,2.46,20.91,11.38,9.66,28.82,12.82,14.07,14.95,15.47,5.18,155.72
Village Council,Ganthalwng,121.722663917,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2020,0.0,7.07,9.9,7.88,7.12,11.88,16.34,11.32,21.32,11.57,5.06,3.67,5.91,2.52,121.56
Village Council,Pirkha,443.786947248,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2020,0.0,34.05,43.88,34.95,41.51,9.39,102.54,49.89,68.94,33.98,9.93,4.81,6.53,3.32,443.72
Village Council,Tentuikhar,330.64255645,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2020,0.0,22.33,28.57,24.06,24.03,9.62,75.9,38.71,63.87,27.15,6.69,3.31,4.58,1.85,330.67
Village Council,Thancha,1315.43989949,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2020,0.0,208.47,147.23,55.55,250.21,38.19,103.82,88.82,78.59,84.43,91.31,81.21,41.42,46.32,1315.57
Village Council,Mathura Para,1136.29864958,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2020,0.0,65.23,101.59,97.05,115.9,59.82,242.16,132.44,82.68,153.55,29.29,22.24,23.29,11.29,1136.53
Village Council,Hakwithang,576.583984284,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2020,0.0,30.8,39.93,35.07,32.77,36.74,87.11,57.85,131.23,56.01,24.41,18.91,16.68,9.2,576.71
Village Council,Masrai Para,372.279016229,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2020,0.0,19.88,28.36,27.54,18.93,10.57,84.81,41.71,82.36,30.94,11.73,6.27,6.52,2.69,372.31
Village Council,Dhananjoy Para,247.51459111,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,0.0,10.16,13.09,18.22,14.12,13.57,38.33,33.2,37.57,40.39,9.37,8.65,8.91,1.96,247.54
