GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2023,0.0,2.5,4.13,22.81,1.67,75.66,16.07,14.03,68.68,35.11,27.01,33.72,40.34,11.79,353.52
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2023,0.0,38.23,35.72,51.32,29.04,55.59,50.66,46.12,58.84,96.93,48.57,21.05,58.36,19.36,609.79
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2023,0.0,1.93,6.39,28.0,0.95,105.07,9.22,13.37,73.1,47.6,51.04,74.12,91.09,15.15,517.03
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2023,0.0,3.38,4.92,30.6,2.05,142.23,8.53,11.97,66.94,52.68,56.53,78.42,132.4,24.29,614.94
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2023,0.0,25.41,30.95,47.07,19.74,38.32,73.88,47.55,76.75,65.85,19.76,11.85,20.73,12.76,490.62
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2023,0.0,132.62,99.01,68.64,79.65,76.68,79.96,91.8,103.66,134.88,38.99,14.94,41.78,20.06,982.67
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2023,0.0,49.07,50.49,41.57,25.14,41.05,61.87,51.38,76.52,61.98,18.29,7.33,17.89,14.09,516.67
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2023,0.01,88.4,77.16,84.58,62.76,55.37,119.55,103.51,74.69,178.63,60.5,20.59,33.5,25.32,984.57
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,0.0,10.51,13.22,27.35,9.26,33.35,33.43,21.22,38.44,38.01,19.88,8.59,23.84,22.79,299.89
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2023,0.0,42.71,44.39,37.93,37.23,17.28,77.11,45.46,33.94,63.7,16.14,4.87,7.41,11.75,439.92
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2023,0.0,27.23,29.5,23.69,25.21,26.02,18.93,23.58,25.48,36.55,27.15,9.14,28.81,10.65,311.94
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,0.0,61.58,84.81,40.85,36.96,34.35,66.77,32.41,36.7,41.61,9.92,3.03,16.77,6.29,472.05
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2023,0.0,39.16,56.26,31.0,41.0,10.28,65.89,43.51,35.57,50.65,14.23,5.25,5.63,23.15,421.58
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,0.0,27.79,38.55,45.1,30.09,20.6,76.58,45.58,59.51,53.28,21.59,7.49,10.22,27.45,463.83
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2023,0.0,18.21,24.47,31.58,16.1,73.06,34.2,26.24,52.64,51.57,65.08,59.56,77.15,45.04,574.9
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2023,0.0,74.84,61.2,57.34,52.66,25.27,107.86,48.84,71.77,57.5,23.3,8.93,22.25,27.25,639.01
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2023,0.0,43.33,59.95,48.39,43.48,78.51,73.75,56.82,62.67,87.17,65.48,119.5,82.62,43.52,865.19
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2023,0.0,54.77,65.65,76.65,56.89,50.11,162.73,101.34,103.6,132.17,56.37,25.75,27.46,45.57,959.06
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2023,0.0,7.29,7.38,25.95,5.18,98.72,20.81,18.01,46.09,42.91,59.36,115.87,82.22,27.63,557.42
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2023,0.0,11.55,9.15,21.01,6.34,61.55,16.07,17.01,39.22,31.3,47.19,39.25,85.31,35.17,420.12
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2023,0.0,0.61,1.5,12.81,0.49,50.46,1.84,3.16,101.49,13.82,39.47,26.53,113.49,23.72,389.39
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2023,0.03,17.7,31.6,57.43,14.52,114.32,51.3,54.15,88.94,104.73,44.85,62.27,60.88,30.19,732.91
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2023,0.0,63.32,88.29,78.47,61.34,56.37,122.06,120.47,140.42,148.42,24.53,14.55,13.47,12.32,944.03
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2023,0.0,3.92,9.42,34.07,3.36,105.75,22.71,25.28,76.11,59.89,26.49,46.03,45.73,9.89,468.65
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2023,0.0,25.67,34.18,26.94,17.17,31.39,36.54,37.73,59.95,52.28,10.82,9.72,10.07,4.68,357.14
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2023,0.0,29.64,36.72,82.49,23.52,111.86,108.45,94.82,136.59,158.68,34.58,20.96,30.18,11.29,879.78
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2023,0.0,33.11,60.86,71.22,28.22,148.49,81.39,82.59,163.44,127.5,47.61,55.46,54.41,18.34,972.64
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2023,0.0,29.08,42.89,79.21,25.34,106.29,120.71,101.28,133.56,147.41,25.53,19.65,29.85,9.75,870.55
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2023,0.0,37.71,49.07,71.67,31.14,62.68,107.37,95.07,131.67,126.15,23.86,12.74,15.04,11.47,775.64
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,2023,0.0,32.52,41.17,21.67,23.93,10.29,32.19,37.72,66.48,26.62,10.75,5.52,4.94,8.18,321.98
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,2023,0.0,35.25,46.07,57.16,28.75,153.95,47.67,57.81,175.7,92.11,94.51,157.39,99.67,39.82,1085.86
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,2023,0.0,26.19,28.92,32.48,13.92,85.62,30.77,32.41,78.8,50.78,43.93,68.43,61.56,25.72,579.53
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,2023,0.0,40.54,47.55,41.08,21.33,55.84,46.82,52.26,87.96,77.2,26.14,19.9,30.98,18.12,565.72
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,2023,0.0,1.01,2.83,20.91,0.6,144.63,5.55,9.88,65.14,33.76,71.16,138.42,104.46,35.83,634.18
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,2023,0.0,15.24,16.87,35.94,8.38,57.15,41.78,42.31,52.97,67.23,16.77,12.33,24.02,8.54,399.53
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,2023,0.01,0.54,2.07,17.48,0.59,106.56,3.1,5.39,40.66,25.96,45.45,103.61,92.33,28.96,472.71
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2023,0.0,13.46,19.55,41.1,9.69,114.36,32.89,37.64,68.93,76.98,51.14,88.43,76.07,28.15,658.39
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2023,0.0,48.32,50.54,83.42,38.32,192.83,101.35,102.61,160.88,152.21,84.73,99.62,80.7,33.83,1229.36
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2023,0.0,2.4,4.25,26.04,1.16,70.06,17.01,15.61,98.0,41.83,41.09,34.82,36.25,16.06,404.58
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2023,0.0,7.34,13.2,71.47,4.6,138.47,49.71,46.5,245.55,99.93,90.63,103.12,91.8,33.53,995.85
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2023,0.0,40.25,44.53,58.96,34.43,48.73,97.23,70.42,103.92,80.79,34.2,11.44,23.44,20.65,668.99
Village Council,Debi chari,1005.52202026,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,2023,0.0,34.22,46.19,59.19,30.48,176.35,58.98,74.28,153.4,119.5,67.04,78.49,79.86,27.59,1005.57
Village Council,Jangidas Para,838.188824963,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,2023,0.0,6.22,9.21,58.4,4.48,123.55,42.51,37.91,193.3,80.97,75.8,87.85,78.62,39.29,838.11
Village Council,Durparai Para,680.370956196,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,2023,0.0,23.79,21.95,52.89,16.49,69.36,78.1,61.45,128.18,68.15,62.85,30.05,40.32,26.7,680.28
Village Council,Yaprikwtal,1241.59939355,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2023,0.0,109.66,80.58,95.88,85.65,45.23,219.74,181.52,234.72,116.82,31.65,10.15,16.62,13.43,1241.65
Village Council,Twibaglai,1567.12188859,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,2023,0.0,176.57,211.6,110.83,139.73,76.12,189.38,194.52,192.92,176.6,34.3,18.89,25.96,19.92,1567.34
Village Council,Sabuj banani,364.794298751,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,2023,0.0,17.86,13.95,30.71,9.09,28.28,42.06,36.96,74.13,35.62,29.21,12.32,15.46,19.13,364.78
Village Council,Jugendra Para,1243.7821286,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,2023,0.0,19.58,25.04,86.44,11.68,214.41,70.42,73.0,245.12,149.76,92.31,99.33,121.93,34.51,1243.53
Village Council,Hamkrai,781.155490209,Gomati,Karbook,Karbook,Lowgang,Lowgang,2023,0.0,75.58,57.09,53.6,50.93,34.38,78.95,83.93,124.62,75.65,65.28,20.13,30.16,30.96,781.26
Village Council,Satarai Uchoipara,264.794803307,Gomati,Karbook,Karbook,Lowgang,South Chellagang,2023,0.0,21.36,13.98,17.35,11.87,18.73,28.24,30.66,46.31,26.88,18.79,8.69,12.83,9.17,264.86
Village Council,Mandirghat Para,449.738683188,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2023,0.0,36.56,42.91,29.7,25.71,44.5,45.15,44.11,30.52,56.54,17.3,8.71,15.37,52.43,449.51
Village Council,Rasnadhan Para,713.896619349,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,2023,0.0,100.36,98.93,47.85,45.61,39.8,64.55,75.03,76.22,94.95,22.99,5.21,17.22,25.36,714.08
Village Council,Santipara,640.040727478,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,2023,0.0,11.5,12.99,46.8,7.1,67.85,28.02,37.42,137.99,81.72,63.87,31.06,77.85,35.99,640.16
,Baiddya Charri,436.907328333,Gomati,Amarpur,Tirthamukh,Tirthamukh,,2023,0.0,11.86,14.52,30.78,8.66,59.02,22.82,35.45,83.09,66.13,30.69,27.93,36.53,9.39,436.87
Village Council,Aaranga,796.82644337,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,2023,0.0,73.13,77.45,66.08,37.23,65.77,70.41,80.75,107.99,107.17,36.1,15.57,34.83,24.15,796.63
Village Council,Swapner Sabuj,750.528621489,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,2023,0.0,14.62,12.83,48.49,8.81,112.27,45.44,42.7,157.17,59.3,62.35,53.95,68.44,64.1,750.47
Village Council,Labarai Para,1034.00651863,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,2023,0.0,36.5,24.51,77.51,17.88,110.73,82.01,87.15,215.92,85.68,71.67,57.0,83.39,84.1,1034.05
Village Council,Raishyabari Nokthai,251.929846122,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,2023,0.0,1.39,1.73,10.12,0.76,25.67,4.64,6.79,67.91,13.03,22.95,19.31,28.43,49.1,251.83
Village Council,Swam Twisa,692.711664764,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,2023,0.0,100.4,95.13,41.01,52.88,32.63,44.39,67.51,60.47,89.81,23.17,5.75,19.43,60.01,692.59
Village Council,Purba Potacherra,622.171687565,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,2023,0.0,21.46,22.1,42.31,16.22,86.49,29.76,51.68,85.65,88.73,56.31,60.14,46.49,14.84,622.18
Village Council,Bhomracherra,948.295548142,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,2023,0.0,51.08,46.11,58.18,31.59,121.43,54.62,73.25,107.9,106.94,77.13,61.47,103.61,54.9,948.21
Village Council,Khasmai,790.349335796,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,2023,0.0,85.27,88.33,51.54,41.49,64.57,63.83,82.68,68.48,137.83,32.22,24.67,25.8,23.74,790.45
Village Council,Indrakishore,495.296124101,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,2023,0.0,3.71,4.51,24.05,2.41,87.55,14.86,19.01,85.82,36.38,49.99,68.53,73.85,24.75,495.42
Village Council,Chaplling Cherra,614.919744566,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2023,0.0,55.8,56.48,40.37,43.48,29.71,63.93,74.19,64.67,70.63,18.06,6.04,12.16,79.28,614.8
Village Council,Khedarnal,929.865058788,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,2023,0.0,72.9,62.63,59.51,65.49,73.77,85.6,90.06,154.23,96.03,54.79,30.5,55.55,28.88,929.94
Village Council,Madhanjoy,345.175100157,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2023,0.0,24.94,27.4,18.92,26.39,39.73,22.34,38.58,27.7,46.48,18.47,32.26,17.93,4.22,345.36
Village Council,Khapang Bodol,368.652992866,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,2023,0.0,44.73,43.95,29.45,33.92,20.35,57.58,44.06,26.68,48.03,6.76,3.47,5.14,4.32,368.44
Village Council,Paschim Potacherra,1426.00641418,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,2023,0.0,3.22,4.12,20.48,2.16,74.03,10.0,16.61,69.93,30.9,48.43,44.91,61.47,1039.72,1425.98
Village Council,Purba Duluma,1590.26118375,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,2023,0.0,131.93,90.26,114.76,90.64,100.96,164.54,158.39,323.0,141.02,88.79,62.92,75.61,47.26,1590.08
Village Council,Lebacharamukh,1732.47861938,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,2023,0.0,379.23,280.2,81.77,249.8,63.06,128.51,143.48,129.57,147.39,36.71,21.31,27.8,44.16,1732.99
Village Council,Banbihar EDC,264.442571481,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2023,0.0,1.79,0.94,7.45,0.8,6.33,0.79,4.16,4.58,12.64,15.06,6.42,9.13,194.37,264.46
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,2023,0.0,41.54,22.41,52.06,14.44,38.36,46.12,64.96,255.02,72.43,84.67,34.3,37.79,40.78,804.88
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2023,0.0,12.85,13.22,60.09,11.7,328.16,27.99,51.02,153.3,102.05,127.54,160.8,160.96,1010.09,2219.77
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,2023,0.0,15.74,8.63,28.13,5.58,31.71,21.28,28.99,146.34,29.58,41.13,39.27,42.45,26.83,465.66
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2023,0.0,4.75,5.42,28.17,3.67,118.29,6.62,26.21,44.32,55.92,56.42,64.72,43.72,482.36,940.59
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,2023,0.0,13.59,14.68,39.97,11.62,138.2,42.94,47.74,61.25,74.71,82.57,108.86,82.02,74.97,793.12
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,2023,0.0,469.82,242.83,139.34,394.71,153.85,193.0,210.61,329.99,198.53,93.21,85.54,111.06,60.36,2682.85
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,2023,0.0,26.45,15.3,57.75,6.78,51.93,18.04,40.76,151.71,80.04,126.53,37.27,65.15,79.81,757.52
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2023,0.0,6.21,7.58,35.29,7.76,216.74,24.1,36.03,63.48,61.36,51.48,78.84,77.57,99.41,765.85
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,2023,0.0,24.8,17.07,35.76,13.04,36.81,29.11,45.8,117.98,39.49,50.93,29.27,49.8,26.35,516.21
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,2023,0.0,263.22,261.8,268.29,169.15,444.42,391.11,344.85,346.3,467.06,122.44,141.84,158.4,48.98,3427.86
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,2023,0.0,27.08,14.57,45.12,9.76,119.55,27.97,46.51,227.98,59.8,110.27,143.86,141.39,87.08,1060.94
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2023,0.0,15.46,18.1,64.02,19.43,225.06,50.2,80.73,131.12,151.74,82.94,133.34,94.79,223.17,1290.1
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2023,0.0,5.37,5.23,25.02,6.91,67.47,18.68,25.34,51.07,49.16,35.76,39.98,36.38,23.61,389.98
Village Council,Samal Twisa,3075.03492394,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,2023,0.0,452.58,274.56,188.78,389.66,179.49,279.03,293.98,329.2,296.87,115.89,74.44,123.76,76.91,3075.15
Gram Panchayet,Newlife,404.453588489,Gomati,Amarpur,Killa,Nitya Bazar,Debbari,2023,0.0,49.34,36.64,22.43,39.18,23.27,24.38,40.75,68.7,37.48,17.56,5.33,18.15,21.15,404.36
Village Council,Tuichakma,1369.39587677,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2023,0.0,39.99,46.63,86.15,34.21,277.82,100.49,119.47,146.91,198.84,59.9,121.33,103.09,34.64,1369.47
Village Council,Sangranma EDC,564.976198781,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2023,0.0,17.55,15.57,34.64,12.38,63.42,29.28,43.16,119.04,68.66,48.21,40.04,50.55,22.62,565.12
Village Council,Beledi EDC,1637.86754538,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2023,0.0,13.2,10.29,30.78,11.92,116.19,17.56,45.66,50.43,65.44,130.42,140.75,93.71,911.49,1637.84
Village Council,Kamalai,446.579247994,Gomati,Amarpur,Ampi,Chechua,Lalgiri,2023,0.0,3.82,5.14,25.34,2.44,73.88,14.17,19.09,129.9,39.94,41.52,23.56,54.58,13.25,446.63
Village Council,Bankarai Para,1537.91756356,Gomati,Amarpur,Amarpur,Bampur,Gungia,2023,0.13,142.13,98.34,109.93,104.86,85.31,100.9,163.02,235.13,174.15,120.4,52.76,87.06,63.65,1537.77
Village Council,Sukmohan JFMC (e Beat),1533.31558346,Gomati,Udaipur,Killa,Nitya Bazar,Dewanbari,2023,0.0,110.12,73.63,104.85,89.27,121.13,66.07,117.4,202.16,150.91,138.49,100.76,144.59,113.79,1533.17
Village Council,Uttar Thakurcherra,784.793738606,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Pancharatan,2023,0.0,9.75,11.23,47.05,12.43,171.17,31.07,48.88,110.36,104.59,53.06,78.37,80.35,26.5,784.81
Village Council,Ranipukur EDC,1044.58660753,Dhalai,Gandacherra,Gonda Twisa,Rani Pukur,Ranir Pukur,2023,0.0,11.17,16.4,59.61,12.79,195.37,29.46,54.08,153.38,114.88,106.26,97.96,116.86,76.3,1044.52
Gram Panchayet,Puskini,1252.60892601,Gomati,Amarpur,Killa,Uttar Baramura,Bampur,2023,0.0,49.91,36.87,60.57,39.13,140.68,27.08,60.73,170.52,88.59,170.69,137.16,172.74,97.8,1252.47
Village Council,Chhankhola,981.427272311,Gomati,Udaipur,Killa,Uttar Baramura,South Brajendra Nagar,2023,0.0,41.17,31.17,68.47,34.17,75.91,55.88,59.55,168.57,60.31,112.94,55.19,132.08,85.96,981.37
Village Council,Ramnagar EDC,1100.93826337,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2023,0.0,37.87,30.03,51.91,25.63,138.71,46.47,84.85,167.35,89.16,97.34,88.95,136.51,105.86,1100.64
Village Council,Omlakbari,569.041694708,Gomati,Udaipur,Killa,Nitya Bazar,Noabari,2023,0.0,20.35,12.9,34.47,10.38,39.63,19.26,31.25,109.58,37.94,59.39,71.55,83.23,39.16,569.09
Village Council,Biswaram Para EDC,159.819158467,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2023,0.0,12.46,9.09,12.89,10.25,11.27,21.67,20.17,33.88,17.56,3.09,3.08,3.27,1.26,159.94
Village Council,Nagarai Bangsi,735.013897708,Gomati,Amarpur,Ampi,Chechua,South Sangang,2023,0.0,55.79,47.11,40.82,52.35,67.74,30.43,59.52,114.72,67.05,60.57,43.16,57.69,37.87,734.82
Village Council,Mach kumir EDC,653.566986486,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Dhalajhari,2023,0.0,5.89,4.75,19.45,3.0,156.38,6.91,16.69,42.99,31.21,52.86,78.04,174.94,60.68,653.79
Village Council,Kalajhari,2429.89047419,Gomati,Amarpur,Amarpur,Kalajhari,Gungia,2023,0.0,395.73,275.13,158.42,273.7,89.01,245.79,259.11,317.13,214.69,64.31,37.02,57.36,42.65,2430.05
Village Council,Hatimatha,281.115423049,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Tuichakma,2023,0.0,7.39,10.91,17.79,6.68,61.53,15.38,21.2,33.94,41.26,12.11,25.73,22.45,4.71,281.08
Village Council,Joychandra Para,644.176647335,Gomati,Amarpur,Amarpur,Sarbong,West Sarbong,2023,0.0,14.27,10.16,41.0,5.21,64.98,18.2,38.23,130.42,58.8,85.79,55.04,80.41,41.65,644.16
Village Council,North Sarma,826.505940311,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Narayan Pur,2023,0.0,16.58,19.53,52.04,13.33,147.36,36.81,56.66,142.19,108.55,49.26,55.87,110.9,17.49,826.57
Village Council,Laxmipur EDC,277.791337855,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Dhalajhari,2023,0.0,18.45,13.64,18.65,10.84,16.45,21.83,34.05,64.44,31.73,19.61,7.03,12.22,8.7,277.64
Village Council,Old Dalapati,1235.61875047,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Sarma,2023,0.0,41.39,50.35,81.77,35.18,142.55,86.58,123.97,244.86,207.21,67.58,63.0,67.81,23.41,1235.66
Village Council,Mohankanta,1689.98615462,Gomati,Udaipur,Killa,Uttar Baramura,South Baramura,2023,0.0,182.92,135.12,111.58,167.83,107.74,105.56,168.51,231.66,185.5,97.54,38.51,98.95,58.88,1690.3
Village Council,Sinsat,380.392529214,Gomati,Udaipur,Killa,Killa,Darjeeling,2023,0.0,40.12,26.93,31.86,34.93,12.77,35.13,34.08,63.59,28.89,24.35,11.23,15.75,20.67,380.3
Village Council,Thandachara,1124.8808031,Gomati,Udaipur,Killa,Khupilong,Kachigang,2023,0.0,22.12,19.91,74.51,13.81,106.54,51.1,63.49,344.98,96.57,99.64,42.49,117.4,71.95,1124.51
Village Council,Salka,1667.3399919,Gomati,Amarpur,Ampi,Dhanlekha,Sonacherra,2023,0.0,32.62,23.18,92.02,12.74,164.33,50.09,94.64,462.98,142.33,194.01,117.64,175.09,105.75,1667.42
Village Council,Marua Colony,622.74700385,Gomati,Amarpur,Ampi,Chechua,South Sangang,2023,0.0,113.34,64.72,32.75,95.13,15.5,29.09,58.38,83.38,44.08,33.56,9.99,20.07,22.85,622.84
Village Council,Naharmabadal,1058.88519173,Gomati,Udaipur,Killa,Killa,Joyingbari,2023,0.0,115.99,72.61,72.69,86.88,43.15,64.45,88.41,183.75,71.62,66.62,60.95,66.02,65.81,1058.95
Village Council,Chandrakumar EDC,1495.18798018,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Laxmipur,2023,0.0,73.59,59.28,83.02,50.52,209.67,76.58,128.06,286.55,134.93,93.16,100.8,153.28,45.69,1495.13
Village Council,Atharabhola JFMC,496.808017671,Gomati,Udaipur,Killa,T.C Bari,Jalema,2023,0.0,1.81,5.34,31.9,1.64,59.91,11.94,10.42,124.97,44.05,45.54,25.06,98.97,35.25,496.8
Village Council,Thumbari,1274.37531363,Gomati,Udaipur,Killa,Killa,North Baramura,2023,0.0,193.29,129.08,74.34,190.51,52.32,73.75,122.87,137.08,100.56,64.63,23.43,57.75,54.63,1274.24
Village Council,Haja Twisha,1493.50833705,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Dalapati,2023,0.0,62.05,68.22,107.51,47.46,157.63,118.19,173.51,274.55,275.38,68.26,57.92,58.29,24.24,1493.21
Village Council,Ganda Twisa,3575.59010867,Gomati,Amarpur,Amarpur,Bampur,East Sarbong,2023,7.26,558.45,418.05,212.02,491.3,147.74,295.05,362.99,394.64,313.68,131.28,54.67,118.71,69.88,3575.72
Village Council,Rangajhari EDC,643.266796865,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2023,0.0,29.69,28.07,39.84,18.94,62.09,40.62,70.03,151.89,73.68,49.91,30.81,29.76,17.96,643.29
